val_loss,epoch,step,train_loss,test_cindex,test_auc_mean
4.009847640991211,0,7,,,
4.010014533996582,1,15,,,
4.010035037994385,2,23,,,
4.009844779968262,3,31,,,
4.009395122528076,4,39,,,
4.008689880371094,5,47,,,
,6,49,3.3167333602905273,,
4.00747013092041,6,55,,,
4.005460262298584,7,63,,,
4.003756523132324,8,71,,,
4.001688003540039,9,79,,,
3.999152898788452,10,87,,,
3.9974615573883057,11,95,,,
,12,99,3.3444201946258545,,
3.996229648590088,12,103,,,
3.9956202507019043,13,111,,,
3.9954583644866943,14,119,,,
3.9950509071350098,15,127,,,
3.9939162731170654,16,135,,,
3.993755578994751,17,143,,,
,18,149,3.3388752937316895,,
3.9937233924865723,18,151,,,
3.993365526199341,19,159,,,
3.9934945106506348,20,167,,,
3.9932281970977783,21,175,,,
3.9928810596466064,22,183,,,
3.993197202682495,23,191,,,
,24,199,3.2653565406799316,,
3.9930429458618164,24,199,,,
3.9927518367767334,25,207,,,
3.99233078956604,26,215,,,
3.9922399520874023,27,223,,,
3.9923253059387207,28,231,,,
3.9920077323913574,29,239,,,
3.991718292236328,30,247,,,
,31,249,3.3506298065185547,,
3.9913809299468994,31,255,,,
3.991123676300049,32,263,,,
3.9905903339385986,33,271,,,
3.9902632236480713,34,279,,,
3.990618944168091,35,287,,,
3.9899749755859375,36,295,,,
,37,299,3.293050765991211,,
3.9897987842559814,37,303,,,
3.990032434463501,38,311,,,
3.9901211261749268,39,319,,,
3.9895830154418945,40,327,,,
3.9892578125,41,335,,,
3.9892091751098633,42,343,,,
,43,349,3.236192226409912,,
3.98901629447937,43,351,,,
3.988893747329712,44,359,,,
3.9882898330688477,45,367,,,
3.9882020950317383,46,375,,,
3.9880006313323975,47,383,,,
3.9876034259796143,48,391,,,
,49,399,3.2180471420288086,,
3.987152338027954,49,399,,,
3.9867208003997803,50,407,,,
3.9869883060455322,51,415,,,
3.9870593547821045,52,423,,,
3.9862797260284424,53,431,,,
3.9854655265808105,54,439,,,
3.9853742122650146,55,447,,,
,56,449,3.24699068069458,,
3.9852895736694336,56,455,,,
3.984799861907959,57,463,,,
3.9845733642578125,58,471,,,
3.98425555229187,59,479,,,
3.984151601791382,60,487,,,
3.984198808670044,61,495,,,
,62,499,3.188718795776367,,
3.9840075969696045,62,503,,,
3.983508825302124,63,511,,,
3.9834163188934326,64,519,,,
3.9830546379089355,65,527,,,
3.9827866554260254,66,535,,,
3.982393503189087,67,543,,,
,68,549,3.324213743209839,,
3.98153018951416,68,551,,,
3.9812686443328857,69,559,,,
3.9806363582611084,70,567,,,
3.980402946472168,71,575,,,
3.9801793098449707,72,583,,,
3.9802143573760986,73,591,,,
,74,599,3.2989449501037598,,
3.9799907207489014,74,599,,,
3.9795384407043457,75,607,,,
3.979327440261841,76,615,,,
3.979100465774536,77,623,,,
3.979112386703491,78,631,,,
3.979048490524292,79,639,,,
3.9783732891082764,80,647,,,
,81,649,3.2505617141723633,,
3.9782562255859375,81,655,,,
3.977543354034424,82,663,,,
3.9773178100585938,83,671,,,
3.976912498474121,84,679,,,
3.9769108295440674,85,687,,,
3.9770348072052,86,695,,,
,87,699,3.1710305213928223,,
3.976984977722168,87,703,,,
3.9769978523254395,88,711,,,
3.97688364982605,89,719,,,
