model,c_index,td_auc_5y,brier_score_5y,best_params
random_survival_forest,0.8824867323730099,0.9173588314324115,0.10145176030768037,"{'model__max_depth': 5, 'model__n_estimators': 100}"
lightgbm_survival,0.14935557240333586,0.084164103417582,,"{'learning_rate': 0.05, 'n_estimators': 100}"
catboost_survival,0.0978013646702047,0.0445206144827982,,"{'depth': 6, 'iterations': 200}"
