model,c_index,td_auc_5y,brier_score_5y,accuracy_5y,precision_5y,recall_5y,static_auc_5y,roc_auc,best_params
gradient_boosting_survival,0.909021986353298,0.9466386982056323,0.10039913876197706,0.8648648648648649,0.75,0.75,0.9361111111111111,0.9361111111111111,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}"
random_survival_forest,0.8840030326004549,0.9225359266426969,0.09894738552612195,0.8513513513513513,0.7647058823529411,0.65,0.9305555555555556,0.9305555555555556,"{'model__max_depth': 7, 'model__n_estimators': 100}"
cox_ph,0.8824867323730099,0.8896570553668866,0.09695316264761056,0.8648648648648649,0.7777777777777778,0.7,0.9361111111111111,0.9361111111111111,{'model__alphas': [0.1]}
cox_net,0.778620166793025,0.8305658281634903,0.2552634957098121,0.7297297297297297,0.0,0.0,0.5,0.5,{'model__n_alphas': 100}
