model,c_index,td_auc_5y,brier_score_5y,accuracy_5y,precision_5y,recall_5y,static_auc_5y,roc_auc,best_params
gradient_boosting_survival,0.9097801364670205,0.9478569912992725,0.09810161888976092,0.8648648648648649,0.75,0.75,0.937962962962963,0.937962962962963,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}"
random_survival_forest,0.8824867323730099,0.9195318760305538,0.1014517603076804,0.8378378378378378,0.75,0.6,0.9277777777777778,0.9277777777777778,"{'model__max_depth': 5, 'model__n_estimators': 100}"
cox_ph,0.8824867323730099,0.8896570553668866,0.09695316264761053,0.8648648648648649,0.7777777777777778,0.7,0.9361111111111111,0.9361111111111111,{'model__alphas': [0.1]}
cox_net,0.778620166793025,0.8305658281634903,0.2552634957098121,0.7297297297297297,0.0,0.0,0.5,0.5,{'model__n_alphas': 100}
