model,c_index,td_auc_5y,brier_score_5y,accuracy_5y,precision_5y,recall_5y,static_auc_5y,roc_auc,best_params
gradient_boosting_survival,0.909021986353298,0.9474510791707024,0.09830267055436888,0.8648648648648649,0.75,0.75,0.937037037037037,0.937037037037037,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}"
cox_ph,0.8824867323730099,0.8896570553668866,0.09695316264761059,0.8648648648648649,0.7777777777777778,0.7,0.9361111111111111,0.9361111111111111,{'model__alphas': [0.1]}
random_survival_forest,0.8756633813495072,0.9118348175428543,0.10209292790201183,0.8513513513513513,0.7647058823529411,0.65,0.9287037037037037,0.9287037037037037,"{'model__max_depth': 5, 'model__n_estimators': 100}"
cox_net,0.7778620166793025,0.8294525591811807,0.2552634957098121,0.7297297297297297,0.0,0.0,0.5,0.5,{'model__n_alphas': 50}
