val_loss,epoch,step,train_loss,test_cindex,test_auc_mean
3.9735500812530518,0,7,,,
3.9737672805786133,1,15,,,
3.973985195159912,2,23,,,
3.9739344120025635,3,31,,,
3.9742043018341064,4,39,,,
3.9744670391082764,5,47,,,
,6,49,3.2340290546417236,,
3.97395658493042,6,55,,,
3.971674919128418,7,63,,,
3.9677393436431885,8,71,,,
3.961793899536133,9,79,,,
3.955965280532837,10,87,,,
3.9518580436706543,11,95,,,
,12,99,3.3494391441345215,,
3.9494636058807373,12,103,,,
3.948153495788574,13,111,,,
3.947042226791382,14,119,,,
3.9462978839874268,15,127,,,
3.9456064701080322,16,135,,,
3.9452028274536133,17,143,,,
,18,149,3.1727001667022705,,
3.9443719387054443,18,151,,,
3.9437618255615234,19,159,,,
3.9431324005126953,20,167,,,
3.942373037338257,21,175,,,
3.9418423175811768,22,183,,,
3.941228151321411,23,191,,,
,24,199,3.2290613651275635,,
3.9405505657196045,24,199,,,
3.9400746822357178,25,207,,,
3.9393129348754883,26,215,,,
3.9389560222625732,27,223,,,
3.9388155937194824,28,231,,,
3.9376533031463623,29,239,,,
3.9377307891845703,30,247,,,
,31,249,3.3156609535217285,,
3.9373772144317627,31,255,,,
3.936832904815674,32,263,,,
3.9360086917877197,33,271,,,
3.935824155807495,34,279,,,
3.9355552196502686,35,287,,,
3.934964179992676,36,295,,,
,37,299,3.2788126468658447,,
3.934229612350464,37,303,,,
3.9337735176086426,38,311,,,
3.9331748485565186,39,319,,,
3.9324111938476562,40,327,,,
3.9320805072784424,41,335,,,
3.931540012359619,42,343,,,
,43,349,3.337589740753174,,
3.9308969974517822,43,351,,,
3.930682897567749,44,359,,,
3.930408000946045,45,367,,,
3.9301867485046387,46,375,,,
3.930014133453369,47,383,,,
3.929525136947632,48,391,,,
,49,399,3.2937870025634766,,
3.929311513900757,49,399,,,
3.928499221801758,50,407,,,
3.927920341491699,51,415,,,
3.9275407791137695,52,423,,,
3.927299976348877,53,431,,,
3.9271109104156494,54,439,,,
3.9265530109405518,55,447,,,
,56,449,3.241687297821045,,
3.926320791244507,56,455,,,
3.9256680011749268,57,463,,,
