Weight_Img,Weight_Clin,AUC,C-Index,Balanced_Acc,F1,Recall,Precision
0.0,1.0,0.9608333333333333,0.9608333333333333,0.8833333333333333,0.782608695652174,0.9,0.6923076923076923
0.1,0.9,0.9566666666666667,0.9566666666666667,0.8833333333333333,0.782608695652174,0.9,0.6923076923076923
0.2,0.8,0.9475,0.9475,0.8833333333333333,0.782608695652174,0.9,0.6923076923076923
0.3,0.7,0.9366666666666666,0.9366666666666666,0.8833333333333333,0.782608695652174,0.9,0.6923076923076923
0.4,0.6,0.9283333333333335,0.9283333333333333,0.8916666666666666,0.8,0.9,0.72
0.5,0.5,0.9241666666666667,0.9241666666666667,0.8916666666666666,0.8,0.9,0.72
0.6,0.4,0.9208333333333334,0.9208333333333333,0.8666666666666667,0.7727272727272727,0.85,0.7083333333333334
0.7,0.3,0.9033333333333333,0.9033333333333333,0.6833333333333333,0.5294117647058824,0.45,0.6428571428571429
0.8,0.2,0.8683333333333334,0.8683333333333333,0.6416666666666666,0.45161290322580644,0.35,0.6363636363636364
0.9,0.1,0.82,0.82,0.5916666666666667,0.3448275862068966,0.25,0.5555555555555556
1.0,0.0,0.6083333333333333,0.6083333333333333,0.5333333333333333,0.21428571428571427,0.15,0.375
