feature,importance
lesionsize,0.682099
enc_312,0.18263201
enc_101,0.16263385
enc_778,0.14948681
enc_950,0.11398183
diaghear,0.11206381
enc_330,0.107876375
loclup,0.10434033
enc_691,0.095994905
enc_657,0.095963456
enc_40,0.08584552
height,0.08250308
enc_395,0.07117652
enc_268,0.062259316
enc_483,0.061720658
enc_403,0.06055788
enc_892,0.059598923
enc_534,0.05931621
cigsmok,0.058982886
enc_7,0.05883212
enc_31,0.057490252
smokeyr,0.054996986
enc_396,0.053174175
smokelive,0.05292507
enc_911,0.050880097
enc_583,0.049232826
enc_611,0.048471082
enc_54,0.048005085
enc_545,0.041511007
enc_500,0.041475218
enc_536,0.0393752
enc_947,0.035818167
enc_1006,0.034554154
enc_36,0.03336044
enc_220,0.032518607
enc_484,0.03226173
enc_425,0.031860203
enc_333,0.031345285
enc_989,0.030410975
enc_809,0.030288156
diagpneu,0.029287297
enc_489,0.028636962
enc_590,0.028560515
enc_710,0.028312543
enc_360,0.028299306
enc_561,0.027949577
enc_294,0.026280824
enc_381,0.025995279
enc_164,0.024322372
enc_320,0.02392054
enc_866,0.023895381
age,0.022434251
enc_316,0.021390943
enc_402,0.021037837
enc_412,0.020830972
enc_481,0.020519186
enc_456,0.020394865
enc_93,0.02037582
enc_485,0.020262863
enc_671,0.019291041
enc_873,0.019216573
enc_942,0.018734187
bmi,0.01872881
enc_576,0.017786771
enc_431,0.017608121
enc_364,0.017419647
enc_235,0.016307352
enc_214,0.016072754
enc_346,0.015465547
enc_713,0.015320016
enc_695,0.015264292
enc_907,0.015069048
enc_419,0.014863454
enc_824,0.014855603
enc_405,0.014808509
enc_459,0.014655148
enc_102,0.014405085
enc_569,0.014137226
enc_139,0.014082737
enc_332,0.013408609
enc_186,0.012847468
enc_980,0.012705748
enc_562,0.012640735
enc_138,0.01242429
enc_74,0.012170913
enc_141,0.012129746
enc_8,0.012071299
enc_575,0.011829748
enc_628,0.011395199
enc_515,0.011336869
enc_22,0.01113629
wrkweld,0.011078345
wrkpain,0.010883791
enc_976,0.010231973
enc_699,0.0102114715
enc_86,0.010184865
enc_127,0.010106633
enc_636,0.009994866
enc_918,0.009952194
enc_1018,0.009741069
enc_653,0.009373884
enc_905,0.00931325
enc_797,0.009297786
enc_839,0.009284438
enc_321,0.009192237
enc_37,0.009028668
pkyr,0.008952346
enc_547,0.008864011
enc_766,0.008800392
locrup,0.008485555
enc_437,0.00848462
enc_689,0.008420274
enc_812,0.008164713
enc_158,0.008097392
enc_295,0.008059863
enc_648,0.007977014
enc_879,0.007950023
enc_685,0.007664369
enc_358,0.0076434426
enc_676,0.0076101073
enc_621,0.007496676
enc_205,0.0072038383
enc_450,0.0071473187
enc_998,0.0071105147
work_related,0.006966592
enc_391,0.006953451
enc_67,0.0068631223
enc_563,0.0067235967
enc_149,0.0065773255
enc_941,0.006575151
enc_781,0.0064038993
enc_375,0.00635136
enc_9,0.006124105
enc_764,0.0060936008
enc_548,0.006033244
enc_827,0.0059768525
enc_902,0.0059715407
enc_604,0.005899356
enc_146,0.005875303
enc_132,0.0058501083
weight,0.005845736
enc_110,0.005845615
enc_629,0.0058087995
enc_954,0.0057584294
enc_823,0.0056794095
enc_956,0.0056012557
enc_249,0.0055257063
enc_344,0.005497952
previous_diseases,0.0054220557
