feature,importance,abs_importance
enc_478,0.0,0.0
enc_477,0.0,0.0
enc_476,0.0,0.0
enc_465,0.0,0.0
enc_474,0.0,0.0
enc_473,0.0,0.0
enc_472,0.0,0.0
enc_471,0.0,0.0
enc_470,0.0,0.0
enc_469,0.0,0.0
enc_468,0.0,0.0
enc_467,0.0,0.0
enc_466,0.0,0.0
enc_475,0.0,0.0
enc_426,0.0,0.0
enc_425,0.0,0.0
enc_424,0.0,0.0
enc_423,0.0,0.0
enc_422,0.0,0.0
enc_421,0.0,0.0
enc_420,0.0,0.0
enc_419,0.0,0.0
enc_446,0.0,0.0
enc_417,0.0,0.0
enc_416,0.0,0.0
enc_415,0.0,0.0
enc_414,0.0,0.0
enc_413,0.0,0.0
enc_412,0.0,0.0
enc_411,0.0,0.0
enc_410,0.0,0.0
enc_409,0.0,0.0
enc_418,0.0,0.0
enc_445,0.0,0.0
enc_444,0.0,0.0
enc_443,0.0,0.0
enc_442,0.0,0.0
enc_441,0.0,0.0
enc_440,0.0,0.0
enc_439,0.0,0.0
enc_438,0.0,0.0
enc_427,0.0,0.0
enc_436,0.0,0.0
enc_435,0.0,0.0
enc_434,0.0,0.0
enc_433,0.0,0.0
enc_432,0.0,0.0
enc_431,0.0,0.0
enc_430,0.0,0.0
enc_429,0.0,0.0
enc_428,0.0,0.0
enc_437,0.0,0.0
enc_541,0.0,0.0
enc_540,0.0,0.0
enc_539,0.0,0.0
enc_538,0.0,0.0
enc_537,0.0,0.0
enc_536,0.0,0.0
enc_535,0.0,0.0
enc_534,0.0,0.0
enc_484,0.0,0.0
enc_532,0.0,0.0
enc_531,0.0,0.0
enc_530,0.0,0.0
enc_529,0.0,0.0
enc_528,0.0,0.0
enc_527,0.0,0.0
enc_526,0.0,0.0
enc_525,0.0,0.0
enc_524,0.0,0.0
enc_533,0.0,0.0
enc_560,0.0,0.0
enc_559,0.0,0.0
enc_558,0.0,0.0
enc_557,0.0,0.0
enc_556,0.0,0.0
enc_555,0.0,0.0
enc_554,0.0,0.0
enc_553,0.0,0.0
enc_542,0.0,0.0
enc_551,0.0,0.0
enc_550,0.0,0.0
enc_549,0.0,0.0
enc_548,0.0,0.0
enc_710,0.0,0.0
enc_546,0.0,0.0
enc_545,0.0,0.0
enc_544,0.0,0.0
enc_543,0.0,0.0
enc_552,0.0,0.0
enc_502,0.0,0.0
enc_501,0.0,0.0
enc_500,0.0,0.0
enc_499,0.0,0.0
enc_498,0.0,0.0
enc_497,0.0,0.0
enc_496,0.0,0.0
enc_495,0.0,0.0
enc_522,0.0,0.0
enc_493,0.0,0.0
enc_492,0.0,0.0
enc_491,0.0,0.0
enc_490,0.0,0.0
enc_489,0.0,0.0
enc_488,0.0,0.0
enc_487,0.0,0.0
enc_486,0.0,0.0
enc_485,0.0,0.0
enc_494,0.0,0.0
enc_521,0.0,0.0
enc_520,0.0,0.0
enc_519,0.0,0.0
enc_518,0.0,0.0
enc_517,0.0,0.0
enc_516,0.0,0.0
enc_515,0.0,0.0
enc_514,0.0,0.0
enc_503,0.0,0.0
enc_512,0.0,0.0
enc_511,0.0,0.0
enc_510,0.0,0.0
enc_509,0.0,0.0
enc_508,0.0,0.0
enc_507,0.0,0.0
enc_506,0.0,0.0
enc_505,0.0,0.0
enc_504,0.0,0.0
enc_513,0.0,0.0
enc_917,0.0,0.0
enc_916,0.0,0.0
enc_915,0.0,0.0
enc_914,0.0,0.0
enc_913,0.0,0.0
enc_912,0.0,0.0
enc_911,0.0,0.0
enc_910,0.0,0.0
enc_727,0.0,0.0
enc_908,0.0,0.0
enc_907,0.0,0.0
enc_906,0.0,0.0
enc_905,0.0,0.0
enc_904,0.0,0.0
enc_903,0.0,0.0
enc_902,0.0,0.0
enc_901,0.0,0.0
enc_909,0.0,0.0
enc_939,0.0,0.0
enc_937,0.0,0.0
enc_936,0.0,0.0
enc_935,0.0,0.0
enc_933,0.0,0.0
enc_932,0.0,0.0
enc_931,0.0,0.0
enc_930,0.0,0.0
enc_918,0.0,0.0
enc_928,0.0,0.0
enc_927,0.0,0.0
enc_926,0.0,0.0
enc_925,0.0,0.0
enc_924,0.0,0.0
enc_923,0.0,0.0
enc_922,0.0,0.0
enc_921,0.0,0.0
enc_920,0.0,0.0
enc_929,0.0,0.0
enc_880,0.0,0.0
enc_879,0.0,0.0
enc_878,0.0,0.0
enc_877,0.0,0.0
enc_876,0.0,0.0
enc_875,0.0,0.0
enc_874,0.0,0.0
enc_873,0.0,0.0
enc_900,0.0,0.0
enc_871,0.0,0.0
enc_870,0.0,0.0
enc_869,0.0,0.0
enc_868,0.0,0.0
enc_867,0.0,0.0
enc_866,0.0,0.0
enc_865,0.0,0.0
enc_864,0.0,0.0
enc_863,0.0,0.0
enc_872,0.0,0.0
enc_899,0.0,0.0
enc_898,0.0,0.0
enc_897,0.0,0.0
enc_896,0.0,0.0
enc_895,0.0,0.0
enc_894,0.0,0.0
enc_893,0.0,0.0
enc_892,0.0,0.0
enc_881,0.0,0.0
enc_890,0.0,0.0
enc_889,0.0,0.0
enc_888,0.0,0.0
enc_887,0.0,0.0
enc_886,0.0,0.0
enc_885,0.0,0.0
enc_884,0.0,0.0
enc_883,0.0,0.0
enc_882,0.0,0.0
enc_891,0.0,0.0
enc_971,0.0,0.0
enc_970,0.0,0.0
enc_969,0.0,0.0
enc_968,0.0,0.0
cigar,0.0,0.0
enc_966,0.0,0.0
enc_965,0.0,0.0
enc_964,0.0,0.0
enc_940,0.0,0.0
enc_962,0.0,0.0
enc_961,0.0,0.0
enc_960,0.0,0.0
wrkfire,0.0,0.0
wrkfarm,0.0,0.0
wrkcott,0.0,0.0
wrkcoal,0.0,0.0
wrkchem,0.0,0.0
wrkbutc,0.0,0.0
enc_963,0.0,0.0
enc_990,0.0,0.0
enc_989,0.0,0.0
enc_988,0.0,0.0
enc_987,0.0,0.0
enc_986,0.0,0.0
enc_985,0.0,0.0
enc_984,0.0,0.0
enc_983,0.0,0.0
enc_972,0.0,0.0
enc_981,0.0,0.0
enc_980,0.0,0.0
enc_979,0.0,0.0
enc_978,0.0,0.0
enc_977,0.0,0.0
enc_976,0.0,0.0
enc_975,0.0,0.0
enc_974,0.0,0.0
enc_973,0.0,0.0
enc_982,0.0,0.0
enc_958,0.0,0.0
enc_957,0.0,0.0
enc_956,0.0,0.0
enc_955,0.0,0.0
enc_954,0.0,0.0
enc_953,0.0,0.0
enc_952,0.0,0.0
enc_951,0.0,0.0
wrkbaki,0.0,0.0
enc_949,0.0,0.0
enc_948,0.0,0.0
enc_947,0.0,0.0
enc_946,0.0,0.0
enc_945,0.0,0.0
enc_944,0.0,0.0
enc_943,0.0,0.0
enc_942,0.0,0.0
enc_941,0.0,0.0
enc_950,0.0,0.0
wrkasbe,0.0,0.0
locunk,0.0,0.0
locrmsb,0.0,0.0
locrmid,0.0,0.0
locrlow,0.0,0.0
locrhil,0.0,0.0
locmed,0.0,0.0
locllow,0.0,0.0
enc_959,0.0,0.0
loccar,0.0,0.0
height,0.0,0.0
de_grade,0.0,0.0
medcomplc,0.0,0.0
invaslc,0.0,0.0
smokeyr,0.0,0.0
smokework,0.0,0.0
smokelive,0.0,0.0
smokeday,0.0,0.0
loclin,0.0,0.0
enc_766,0.0,0.0
enc_765,0.0,0.0
enc_764,0.0,0.0
enc_763,0.0,0.0
enc_762,0.0,0.0
