feature,importance
enc_171,0.000253768
lesionsize,0.0001865792
enc_38,8.793232e-05
enc_116,8.56835e-05
enc_493,8.133408e-05
enc_892,7.7643854e-05
enc_257,7.61928e-05
enc_219,7.1472474e-05
enc_814,6.990136e-05
enc_7,6.986594e-05
enc_385,6.931899e-05
enc_670,6.647356e-05
enc_800,6.320156e-05
enc_970,6.111281e-05
enc_873,5.9659902e-05
enc_939,5.4895005e-05
enc_335,5.4575736e-05
enc_115,5.3558295e-05
enc_449,5.153494e-05
enc_502,5.098638e-05
enc_823,3.5930505e-05
enc_554,3.5520963e-05
enc_32,3.3855755e-05
enc_684,3.3496177e-05
enc_856,3.254043e-05
enc_584,3.18134e-05
enc_900,3.0970765e-05
enc_159,2.9894616e-05
enc_149,2.9149063e-05
enc_216,2.885881e-05
enc_182,2.8339146e-05
enc_78,2.741754e-05
enc_965,2.70009e-05
enc_94,2.6340267e-05
enc_472,2.6313597e-05
enc_1012,2.6086758e-05
enc_749,2.464362e-05
enc_484,2.439238e-05
enc_851,2.412559e-05
enc_15,2.0476531e-05
enc_138,2.01943e-05
enc_433,1.9967416e-05
enc_630,1.9909818e-05
enc_752,1.8927703e-05
enc_268,1.8292234e-05
enc_422,1.8276874e-05
enc_880,1.7101574e-05
enc_30,1.683827e-05
enc_366,1.6343782e-05
enc_910,1.5587046e-05
enc_206,1.5392285e-05
enc_542,1.4768292e-05
enc_75,1.4578887e-05
enc_1022,1.4269062e-05
enc_834,1.4123469e-05
enc_1005,1.3941708e-05
enc_606,1.3809136e-05
enc_1015,1.3717188e-05
enc_721,1.3108629e-05
enc_97,1.2577043e-05
enc_725,1.2421263e-05
enc_27,1.2306492e-05
enc_831,1.2273258e-05
enc_735,1.1952129e-05
enc_677,1.1778311e-05
enc_393,1.1688567e-05
enc_698,1.1167671e-05
enc_60,1.0521968e-05
enc_513,1.0355873e-05
enc_791,1.0222377e-05
enc_236,1.0077674e-05
enc_619,1.0053289e-05
enc_901,9.314684e-06
enc_599,9.118639e-06
enc_642,9.0370895e-06
enc_1006,8.729504e-06
enc_379,8.691966e-06
enc_1016,8.598419e-06
enc_68,8.475037e-06
enc_241,8.345307e-06
enc_264,8.233341e-06
enc_662,8.103416e-06
enc_797,8.036614e-06
enc_47,7.9319925e-06
enc_629,7.838795e-06
enc_948,7.768166e-06
enc_301,7.758839e-06
enc_289,7.756518e-06
enc_697,7.749766e-06
enc_997,7.721292e-06
enc_232,7.532102e-06
enc_981,7.52656e-06
enc_421,7.523152e-06
diaghear,7.521822e-06
enc_881,7.509208e-06
enc_336,7.491098e-06
enc_919,7.4158706e-06
enc_564,7.2476687e-06
enc_518,7.116311e-06
enc_780,7.1134173e-06
enc_300,6.7721908e-06
enc_713,6.517862e-06
enc_178,6.4774526e-06
enc_763,6.468507e-06
enc_349,6.464304e-06
enc_453,6.4561077e-06
enc_360,6.4359933e-06
enc_261,6.435549e-06
enc_634,6.4331034e-06
enc_774,6.3950406e-06
enc_199,6.3899533e-06
enc_12,6.3869893e-06
enc_66,6.3835237e-06
enc_655,6.229383e-06
enc_192,6.114976e-06
enc_678,6.065047e-06
enc_720,6.058346e-06
enc_51,5.9998997e-06
enc_263,5.938468e-06
enc_941,5.863962e-06
enc_71,5.84303e-06
enc_534,5.7360085e-06
enc_469,5.72764e-06
enc_403,5.7133766e-06
enc_999,5.6514978e-06
enc_124,5.5296837e-06
enc_986,5.512874e-06
enc_571,5.437995e-06
enc_285,5.41328e-06
enc_890,5.3989625e-06
enc_706,5.3693925e-06
enc_974,5.36771e-06
enc_9,5.319798e-06
enc_692,5.3039903e-06
enc_737,5.2759406e-06
enc_173,5.1825696e-06
enc_808,5.131363e-06
enc_824,5.1128463e-06
enc_942,4.9713103e-06
enc_671,4.8993743e-06
enc_537,4.8947963e-06
enc_963,4.8662682e-06
enc_631,4.841955e-06
enc_902,4.8353395e-06
enc_495,4.8149286e-06
enc_652,4.7629096e-06
enc_209,4.7014346e-06
enc_362,4.687665e-06
enc_550,4.684094e-06
enc_696,4.6408113e-06
enc_205,4.619013e-06
enc_787,4.5361307e-06
enc_596,4.528786e-06
smokelive,4.5236225e-06
enc_271,4.4629023e-06
enc_151,4.4521885e-06
enc_170,4.4473286e-06
enc_728,4.3345676e-06
enc_418,4.1696903e-06
enc_760,4.157625e-06
enc_748,4.104105e-06
enc_109,4.069138e-06
enc_190,4.062464e-06
enc_500,4.0518266e-06
enc_833,4.048934e-06
enc_727,4.026764e-06
enc_524,3.9245483e-06
enc_1020,3.8807843e-06
enc_616,3.865614e-06
enc_266,3.82032e-06
enc_509,3.7916477e-06
enc_751,3.7402292e-06
enc_730,3.7103898e-06
enc_835,3.6975384e-06
enc_967,3.695999e-06
enc_846,3.6897832e-06
enc_467,3.6694819e-06
enc_88,3.6324695e-06
enc_244,3.6244066e-06
enc_682,3.5311878e-06
enc_983,3.5292846e-06
enc_510,3.5204753e-06
enc_657,3.5080998e-06
enc_0,3.49594e-06
enc_434,3.403878e-06
enc_346,3.3748133e-06
enc_228,3.3475194e-06
enc_55,3.3076553e-06
enc_1014,3.307308e-06
enc_644,3.2264638e-06
enc_536,3.1811123e-06
enc_326,3.1243003e-06
enc_35,3.1159834e-06
enc_612,3.0795504e-06
enc_348,3.0791857e-06
enc_305,3.0551298e-06
enc_377,3.042933e-06
enc_314,2.9884404e-06
enc_134,2.9598737e-06
enc_371,2.9579967e-06
enc_794,2.9471157e-06
enc_475,2.9462267e-06
enc_310,2.9174698e-06
enc_101,2.915494e-06
enc_685,2.9027035e-06
enc_739,2.8878785e-06
enc_381,2.8653308e-06
enc_243,2.8614313e-06
enc_575,2.7704978e-06
enc_365,2.7094961e-06
enc_803,2.7066408e-06
enc_772,2.6555342e-06
enc_409,2.6545474e-06
enc_669,2.6078067e-06
enc_672,2.5787706e-06
enc_406,2.529311e-06
enc_1003,2.4951587e-06
enc_898,2.4851902e-06
enc_50,2.477569e-06
enc_746,2.4727342e-06
enc_852,2.4629812e-06
enc_358,2.4627248e-06
enc_77,2.431742e-06
enc_26,2.415323e-06
enc_661,2.3840869e-06
enc_675,2.3614123e-06
enc_622,2.3606704e-06
enc_49,2.3364478e-06
enc_87,2.290158e-06
enc_818,2.267426e-06
enc_903,2.2463305e-06
enc_86,2.2448353e-06
enc_804,2.2116733e-06
enc_281,2.147499e-06
enc_313,2.1288572e-06
enc_99,2.115461e-06
enc_258,2.0784805e-06
enc_626,2.0779767e-06
enc_991,2.0667796e-06
enc_809,2.0613672e-06
enc_680,2.051819e-06
enc_543,2.0464474e-06
enc_568,2.0431305e-06
enc_411,2.042216e-06
enc_20,2.0390198e-06
enc_695,2.0089199e-06
enc_363,2.0047637e-06
enc_552,1.9987128e-06
enc_847,1.9842228e-06
enc_961,1.9664888e-06
enc_673,1.9558927e-06
enc_854,1.9543436e-06
enc_538,1.9399886e-06
enc_949,1.9345698e-06
enc_40,1.9292406e-06
enc_770,1.928379e-06
enc_1018,1.9242038e-06
enc_133,1.9239783e-06
enc_519,1.8821213e-06
enc_456,1.8648213e-06
enc_426,1.8615212e-06
enc_70,1.8287485e-06
enc_638,1.7950312e-06
enc_304,1.7900393e-06
enc_660,1.7869988e-06
enc_275,1.7780691e-06
enc_969,1.7543849e-06
enc_208,1.7423266e-06
enc_319,1.740791e-06
enc_172,1.7382505e-06
enc_915,1.7321878e-06
enc_879,1.7195902e-06
enc_828,1.7077916e-06
enc_195,1.6913142e-06
enc_1023,1.6261217e-06
enc_573,1.6101092e-06
enc_450,1.6085108e-06
enc_931,1.5975107e-06
enc_637,1.5963664e-06
enc_958,1.5838357e-06
enc_188,1.5532078e-06
previous_diseases,1.5280151e-06
enc_950,1.5270267e-06
enc_437,1.5248442e-06
enc_295,1.4968098e-06
enc_583,1.4891575e-06
enc_98,1.4890453e-06
enc_978,1.4642991e-06
enc_521,1.4638425e-06
enc_533,1.4371242e-06
enc_936,1.4307936e-06
enc_337,1.4267204e-06
enc_875,1.4147141e-06
enc_643,1.4139242e-06
enc_745,1.412845e-06
height,1.4101171e-06
enc_333,1.408181e-06
enc_330,1.3785886e-06
enc_255,1.3574384e-06
cigsmok,1.3542975e-06
enc_355,1.2993135e-06
enc_867,1.2988102e-06
enc_89,1.2982638e-06
enc_79,1.298205e-06
enc_73,1.2927129e-06
enc_857,1.2803957e-06
enc_593,1.2762556e-06
enc_308,1.2533253e-06
enc_229,1.2491369e-06
enc_930,1.2474188e-06
enc_237,1.2442694e-06
enc_307,1.2355825e-06
enc_540,1.2153812e-06
enc_293,1.2117403e-06
enc_520,1.2014916e-06
enc_987,1.1936955e-06
age,1.1854777e-06
enc_872,1.1834492e-06
enc_143,1.1673037e-06
enc_353,1.1668812e-06
enc_602,1.155851e-06
enc_1013,1.1550532e-06
enc_810,1.1219099e-06
enc_440,1.1212852e-06
enc_501,1.1203031e-06
enc_714,1.117577e-06
enc_175,1.108887e-06
enc_913,1.0928121e-06
enc_315,1.0780931e-06
enc_545,1.0754259e-06
weight,1.0371175e-06
enc_922,1.0271907e-06
enc_860,1.0135597e-06
enc_156,1.0067009e-06
enc_741,1.0042387e-06
enc_369,9.954674e-07
enc_465,9.924121e-07
enc_265,9.920913e-07
enc_944,9.881774e-07
enc_57,9.81518e-07
enc_121,9.607576e-07
enc_136,9.598757e-07
enc_980,9.568932e-07
enc_414,9.5190137e-07
enc_883,9.469133e-07
enc_223,9.464164e-07
enc_84,9.455057e-07
enc_64,9.36492e-07
enc_1010,9.3622094e-07
enc_731,9.3574573e-07
enc_761,9.208153e-07
enc_1,9.144327e-07
enc_667,9.102467e-07
enc_45,9.060047e-07
enc_717,9.035186e-07
enc_131,8.9870946e-07
enc_515,8.964977e-07
enc_262,8.959645e-07
enc_882,8.8490134e-07
enc_494,8.8426185e-07
enc_693,8.778479e-07
enc_214,8.763457e-07
enc_645,8.7019197e-07
enc_250,8.59744e-07
enc_287,8.586333e-07
enc_277,8.570504e-07
enc_946,8.5448767e-07
enc_532,8.5277463e-07
enc_811,8.500325e-07
enc_506,8.452459e-07
smokeday,8.43362e-07
enc_793,8.221935e-07
enc_280,8.1561654e-07
enc_130,8.111133e-07
enc_531,8.018243e-07
enc_80,8.0052024e-07
