method,model,roc_auc
vif,lasso_logreg,0.8758333333333334
union,lasso_logreg,0.8758333333333334
lasso,lasso_logreg,0.8741666666666666
vif,rf,0.8741666666666665
cox_uni,lasso_logreg,0.87375
lasso,svm,0.8641666666666666
cox_uni,svm,0.86375
lasso,rf,0.8608333333333333
cox_uni,rf,0.8604166666666667
vif,xgboost,0.8583333333333333
union,rf,0.8575
union,xgboost,0.8491666666666667
lasso,xgboost,0.8433333333333333
cox_uni,xgboost,0.8337500000000001
union,svm,0.8191666666666666
vif,svm,0.8183333333333334
