model,c_index,best_params
random_survival_forest,0.8476118271417741,"{'model__max_depth': 5, 'model__n_estimators': 500}"
catboost_survival,0.8423047763457164,"{'depth': 4, 'iterations': 500}"
lightgbm_survival,0.8119787717968158,"{'learning_rate': 0.005, 'n_estimators': 500}"
