cohort_size,evaluable_size,c_index_fused,auc_fused,brier_fused,accuracy_fused,weight_imaging,weight_clinical
80,74,0.7452615617892343,0.8259259259259258,0.15026041975336032,0.7702702702702703,0.6,0.4
80,74,0.7407126611068992,0.8222222222222223,0.14831549855382586,0.7837837837837838,0.7,0.3
80,74,0.7399545109931767,0.8250000000000001,0.15322259001626537,0.7567567567567568,0.5,0.5
80,74,0.7361637604245641,0.8222222222222223,0.15720200934254094,0.7432432432432432,0.4,0.6
80,74,0.7354056103108415,0.8166666666666667,0.16219867773218707,0.7432432432432432,0.3,0.7
80,74,0.734647460197119,0.8148148148148149,0.14738782641766193,0.7837837837837838,0.8,0.2
80,74,0.7278241091736164,0.8027777777777779,0.1682125951852038,0.7297297297297297,0.2,0.8
80,74,0.7172100075815011,0.8074074074074075,0.14747740334486856,0.7972972972972973,0.9,0.1
80,74,0.7134192570128886,0.774074074074074,0.175243761701591,0.7297297297297297,0.1,0.9
80,74,0.7050796057619408,0.8111111111111111,0.14858422933544577,0.7972972972972973,1.0,0.0
80,74,0.7043214556482184,0.724537037037037,0.18329217728134878,0.7297297297297297,0.0,1.0
