cohort_size,evaluable_size,c_index_fused,auc_fused,brier_fused,accuracy_fused,weight_imaging,weight_clinical
80,74,0.8468536770280516,0.8703703703703703,0.12694191338045693,0.8108108108108109,0.0,1.0
80,74,0.8453373768006065,0.8703703703703703,0.12293311733990823,0.8378378378378378,0.1,0.9
80,74,0.8377558756633814,0.8694444444444444,0.12029610521848118,0.8378378378378378,0.2,0.8
80,74,0.8316906747536013,0.8703703703703703,0.11903087701617587,0.8378378378378378,0.3,0.7
80,74,0.8263836239575436,0.8694444444444445,0.11913743273299222,0.8108108108108109,0.4,0.6
80,74,0.8104624715693708,0.8666666666666666,0.12061577236893024,0.7972972972972973,0.5,0.5
80,74,0.7907505686125853,0.8620370370370369,0.12346589592398999,0.7972972972972973,0.6,0.4
80,74,0.7717968157695224,0.8546296296296295,0.12768780339817143,0.7972972972972973,0.7,0.3
80,74,0.7528430629264594,0.8435185185185186,0.1332814947914745,0.7972972972972973,0.8,0.2
80,74,0.733131159969674,0.8351851851851851,0.14024697010389928,0.8108108108108109,0.9,0.1
80,74,0.7050796057619408,0.8111111111111111,0.14858422933544577,0.7972972972972973,1.0,0.0
