val_loss,epoch,step,train_loss
4.002057075500488,0,7,
4.002136707305908,1,15,
4.002538204193115,2,23,
4.003281116485596,3,31,
4.004391193389893,4,39,
4.005469799041748,5,47,
,6,49,3.388179302215576
4.006507873535156,6,55,
4.007480621337891,7,63,
4.010441303253174,8,71,
4.012395858764648,9,79,
4.014644622802734,10,87,
4.01626443862915,11,95,
,12,99,3.240513324737549
4.017261028289795,12,103,
4.017422199249268,13,111,
4.01730489730835,14,119,
4.016956806182861,15,127,
4.016238212585449,16,135,
4.015769958496094,17,143,
,18,149,3.6874184608459473
4.01493501663208,18,151,
4.014096260070801,19,159,
4.013599395751953,20,167,
4.012925148010254,21,175,
4.012124538421631,22,183,
4.011527061462402,23,191,
,24,199,3.349925994873047
4.010538578033447,24,199,
4.009696006774902,25,207,
4.008994102478027,26,215,
4.0081305503845215,27,223,
4.007789134979248,28,231,
4.0076093673706055,29,239,
4.00665807723999,30,247,
,31,249,3.2208051681518555
4.006045341491699,31,255,
4.005331039428711,32,263,
4.005457401275635,33,271,
4.004762649536133,34,279,
4.0045342445373535,35,287,
4.003993988037109,36,295,
,37,299,3.251335382461548
4.003684997558594,37,303,
4.003146648406982,38,311,
4.0019659996032715,39,319,
4.001133441925049,40,327,
4.0005083084106445,41,335,
3.99946928024292,42,343,
,43,349,3.250009536743164
3.9993181228637695,43,351,
3.99845552444458,44,359,
3.9979734420776367,45,367,
3.997835636138916,46,375,
3.9967777729034424,47,383,
3.9958934783935547,48,391,
,49,399,3.2847628593444824
3.9953999519348145,49,399,
3.9942712783813477,50,407,
3.993849277496338,51,415,
3.993325710296631,52,423,
3.9925718307495117,53,431,
3.9916515350341797,54,439,
3.9910480976104736,55,447,
,56,449,3.1678855419158936
3.9900288581848145,56,455,
3.9897406101226807,57,463,
3.9887847900390625,58,471,
3.9883275032043457,59,479,
3.988112449645996,60,487,
3.9873452186584473,61,495,
,62,499,3.253803253173828
3.9868788719177246,62,503,
3.9860379695892334,63,511,
3.9853861331939697,64,519,
3.9846744537353516,65,527,
3.9842939376831055,66,535,
3.983424663543701,67,543,
,68,549,3.3736469745635986
3.9833178520202637,68,551,
3.9826760292053223,69,559,
3.9817256927490234,70,567,
3.980762004852295,71,575,
3.9804818630218506,72,583,
3.9799625873565674,73,591,
,74,599,3.219571113586426
3.9793567657470703,74,599,
3.9784154891967773,75,607,
3.9779207706451416,76,615,
3.976869583129883,77,623,
3.977142095565796,78,631,
