PID,embedding
116747,"[-0.07018931 -0.01148233 -0.01332577 ... -0.02112844 -0.00234701
 -0.03477572]"
117025,"[-0.06849626 -0.01264527  0.01532394 ...  0.00621039  0.00769182
 -0.04029553]"
117534,"[-0.05334235 -0.04182865  0.00245914 ... -0.00524286 -0.00806279
 -0.0327632 ]"
117601,"[-0.06291074 -0.0235977   0.01626595 ... -0.00583281  0.02628536
 -0.03095246]"
117627,"[-0.04276107 -0.02161449 -0.00451993 ...  0.01117245 -0.03747696
 -0.02527624]"
117966,"[-0.08233918 -0.00899409  0.01578992 ...  0.0231393   0.00551364
 -0.02313118]"
118297,"[-0.04609562 -0.0161063   0.00618598 ...  0.01294759 -0.01714894
 -0.02430546]"
118323,"[-0.06795491 -0.03879287  0.02151676 ... -0.01117811  0.02640424
 -0.03895454]"
118713,"[-0.05140097 -0.02750768 -0.00462588 ... -0.00483149 -0.01350588
 -0.01039982]"
119029,"[-0.05559685 -0.0277049  -0.00551111 ... -0.0110579  -0.00667118
 -0.02688408]"
119496,"[-0.06539456 -0.04226677  0.0042233  ...  0.00781692 -0.02587985
 -0.00469626]"
119597,"[-0.04523927 -0.01238885 -0.01910354 ...  0.02305471 -0.01333456
 -0.02094441]"
119743,"[-0.04337531 -0.00478411  0.01955188 ...  0.03233017 -0.02142316
 -0.0421878 ]"
119839,"[-0.03198288 -0.02535458  0.01261634 ... -0.00096142 -0.01801709
 -0.0249654 ]"
120410,"[-0.04955839  0.00217418  0.00313289 ...  0.00410351  0.0006277
 -0.02835413]"
120573,"[-0.05300216 -0.00346133  0.01597187 ... -0.00489677 -0.00537594
 -0.04553661]"
120954,"[-0.06855103 -0.00821006  0.02676798 ...  0.01590059  0.00546667
 -0.03660665]"
120969,"[-0.04946314 -0.01435703 -0.00445803 ... -0.01150248 -0.00409184
 -0.04382777]"
121073,"[-0.0456432   0.00061529  0.01122679 ...  0.02355414 -0.02819159
 -0.03469855]"
121099,"[-0.05887989 -0.03840695  0.02351075 ... -0.01640615 -0.00803418
 -0.03661535]"
121469,"[-0.05884476 -0.02066346  0.02685155 ... -0.00145549  0.00532412
 -0.04239776]"
122025,"[-0.06447462 -0.01786959  0.01428698 ...  0.02083929 -0.01624379
 -0.02614123]"
122866,"[-0.04725603 -0.02456606  0.01623169 ...  0.02002499  0.01896603
 -0.0417534 ]"
123066,"[-0.05659452 -0.01523902  0.02874711 ...  0.00861463  0.00497102
 -0.04447728]"
123515,"[-0.07601465 -0.03479766  0.01433785 ... -0.01239473  0.00249021
 -0.00829756]"
123629,"[-0.0475015  -0.02913541  0.00295652 ...  0.01765752 -0.0056393
 -0.03831604]"
123944,"[-0.03295498 -0.01121978  0.0051741  ...  0.00783007 -0.00624104
 -0.003792  ]"
124436,"[-0.04757612 -0.02042744 -0.00126757 ...  0.01334034 -0.038229
 -0.02590406]"
124486,"[-0.04568084 -0.02569529  0.03160321 ...  0.00937007 -0.00298898
 -0.01080114]"
124864,"[-0.04170931 -0.00259177 -0.00259038 ...  0.00802337 -0.0173827
 -0.02503689]"
125353,"[-0.05456163 -0.0276421   0.01883894 ...  0.01631747 -0.01866782
 -0.02397554]"
125727,"[-0.06169022 -0.01608564  0.01480762 ...  0.01297623 -0.03037536
 -0.03115205]"
126446,"[-0.03860877 -0.00783329 -0.00075326 ... -0.0001204  -0.02864908
 -0.03062407]"
126520,"[-0.0703332  -0.00187959  0.00979951 ...  0.01185439 -0.0200873
 -0.03742533]"
126792,"[-0.0562774  -0.02468843  0.03261526 ...  0.00720092  0.00347924
 -0.03410365]"
126977,"[-0.05257293 -0.01291065  0.00485678 ... -0.0227227  -0.00987216
 -0.03882705]"
126999,"[-0.04320845 -0.03070158 -0.00614527 ...  0.00551813  0.0037047
 -0.02922185]"
127298,"[-0.06269428 -0.02283227 -0.00519539 ... -0.01697678 -0.02280457
 -0.03182564]"
127302,"[-0.05649104 -0.0263915  -0.01336173 ... -0.0051973  -0.02832684
 -0.01653287]"
127923,"[-0.06696668 -0.02048382  0.00338045 ...  0.01789487 -0.00057165
 -0.03011428]"
129035,"[-0.03754915 -0.01219073 -0.00733114 ... -0.00273919 -0.01041446
 -0.03272126]"
130033,"[-0.04819637  0.01608347  0.00693112 ...  0.00586114 -0.01891939
 -0.03247535]"
130133,"[-0.03843627 -0.01369374 -0.01034621 ...  0.0023156  -0.01569615
 -0.02980441]"
130162,"[-0.05719915 -0.02232586 -0.00086307 ... -0.0130814  -0.00925791
 -0.05244909]"
130315,"[-0.06210867 -0.00656112  0.01225172 ... -0.00903048  0.0074519
 -0.03905954]"
130467,"[-0.06028325 -0.01243651  0.01198268 ...  0.02997247 -0.03870053
 -0.01747663]"
130491,"[-0.05204451 -0.01462364  0.01411642 ...  0.00339171 -0.02608662
 -0.03031242]"
130706,"[-0.06032984 -0.0083115   0.00471844 ... -0.00501863 -0.00893773
 -0.0466278 ]"
130975,"[-0.05052958 -0.02288365 -0.01356092 ... -0.00687217 -0.02721801
 -0.02303441]"
131423,"[-0.04609615 -0.01521457  0.00456165 ...  0.00167598 -0.03248664
 -0.02982893]"
131486,"[-0.05145014 -0.0154626  -0.0151856  ... -0.01727748 -0.02656744
 -0.03665834]"
131542,"[-0.05844616 -0.02756143 -0.00803886 ...  0.0060683  -0.0349199
 -0.03744881]"
131963,"[-0.05383692 -0.0270199   0.0362625  ... -0.0051482   0.01610303
 -0.05266157]"
132036,"[-0.0472976  -0.03614831 -0.00780038 ... -0.00844035 -0.02772111
 -0.01908904]"
132047,"[-0.03185913 -0.03419906  0.00678934 ...  0.00666398 -0.02302519
 -0.03075232]"
132227,"[-0.06992801 -0.03875046  0.00170137 ...  0.00100191  0.01287251
 -0.03287536]"
