PID,embedding
120070,"[-0.03554948 -0.01415589  0.00232878 ...  0.01080954  0.02074968
 -0.04586003]"
119358,"[-0.05034381 -0.03258239  0.00375931 ... -0.00369148 -0.0057083
 -0.03427673]"
108352,"[-0.05403876 -0.01928298  0.02074976 ...  0.01273621 -0.02960817
 -0.02084467]"
123072,"[-0.0715907  -0.00056256  0.00733724 ...  0.00629209 -0.02632111
 -0.02045341]"
104009,"[-0.07057585 -0.01189048  0.01385287 ...  0.01881752 -0.0075137
 -0.0110675 ]"
124696,"[-0.07831777 -0.0164937   0.02550216 ...  0.02225496 -0.00133371
 -0.02204954]"
107610,"[-0.0694413  -0.0263519   0.02318527 ... -0.00714713  0.02636738
 -0.02917431]"
120708,"[-0.05374588 -0.03726764  0.01782205 ...  0.02828193 -0.02168501
  0.00818738]"
100147,"[-0.07470069 -0.01810453 -0.00674207 ... -0.01943277  0.00222468
 -0.02278144]"
104363,"[-0.05163799 -0.03206528  0.00632827 ...  0.02165505 -0.02949272
 -0.02869013]"
112506,"[-0.05627159  0.0059647   0.00564343 ...  0.00160761  0.00324449
 -0.04078931]"
119474,"[-0.05345549 -0.0520098   0.00073372 ...  0.00450246 -0.01178194
 -0.01617257]"
118602,"[-0.06018599 -0.02173853  0.00854978 ...  0.01193464  0.00805867
 -0.04208605]"
106046,"[-0.05226458 -0.02775419  0.03407523 ...  0.02737693 -0.00241324
 -0.02545072]"
122262,"[-0.04675607 -0.03826822  0.01396159 ...  0.01786221 -0.02762516
 -0.03974814]"
100703,"[-0.08553244 -0.00723792  0.00750611 ...  0.01500482 -0.01907297
 -0.01240378]"
110987,"[-0.05743295 -0.01846921  0.00090896 ...  0.00829671 -0.01346535
 -0.02248872]"
106553,"[-0.01907699 -0.00480746 -0.0142357  ... -0.03080153  0.0011566
 -0.03758   ]"
118719,"[-0.0290014   0.0185226  -0.01560949 ...  0.01724243 -0.0503152
 -0.02318852]"
126955,"[-0.06111848 -0.02144236 -0.01721128 ...  0.00720496 -0.00916228
 -0.04674131]"
117612,"[-0.0459778   0.0017217   0.01014822 ...  0.00116204  0.00335279
 -0.0227735 ]"
107521,"[-0.05627174 -0.02286345 -0.01150562 ... -0.00897829 -0.03833194
 -0.0301351 ]"
100280,"[-0.0391929  -0.00507793 -0.01492678 ...  0.00227839 -0.01388746
 -0.04156129]"
120011,"[-0.04389634 -0.02398037  0.00809978 ...  0.00022856 -0.03232968
 -0.01980359]"
110716,"[-0.06158708 -0.02622419  0.02675836 ...  0.02010128 -0.02851976
 -0.03386213]"
126836,"[-0.05727817 -0.02110774  0.00394197 ...  0.00387298 -0.00463476
 -0.01536383]"
112956,"[-0.04650666  0.01352481  0.01485687 ...  0.01958726 -0.05349367
 -0.04193821]"
110196,"[-6.10205531e-02 -2.21403968e-02 -1.02500107e-05 ... -1.50382705e-02
 -1.03817200e-02 -3.06473207e-02]"
125450,"[-0.0543775  -0.02297364  0.01440714 ...  0.00058107  0.02823733
 -0.02211909]"
117799,"[-0.06979927 -0.0257869  -0.00168908 ...  0.01335793 -0.00262384
 -0.03487505]"
128651,"[-0.05612724 -0.02423528 -0.00149673 ...  0.03045921 -0.01720444
 -0.01969841]"
128669,"[-0.05975608 -0.0157759   0.02200133 ...  0.00790632 -0.03076143
 -0.03276862]"
128944,"[-0.04629151 -0.02609312  0.00647896 ... -0.00230905 -0.00183323
 -0.04086627]"
129155,"[-0.05043396 -0.01740185  0.00934581 ... -0.00517178 -0.0108442
 -0.05585099]"
129285,"[-0.0499016   0.00418064  0.01616986 ...  0.03303702 -0.00682246
 -0.04614298]"
129553,"[-0.05530808 -0.01079042 -0.01672913 ...  0.01014064 -0.01182103
 -0.02741364]"
129627,"[-0.05887134 -0.01814653 -0.00643222 ... -0.00851359 -0.0149909
 -0.05079969]"
130624,"[-0.07345315 -0.02228902  0.02136381 ...  0.0035046   0.00919031
 -0.03543852]"
130655,"[-0.05990227 -0.03965811  0.00857949 ... -0.00279032 -0.03072964
 -0.04398516]"
130942,"[-4.8458368e-02 -2.1899985e-02 -7.4567618e-03 ...  4.6122306e-05
 -6.8957969e-03 -2.2515481e-02]"
131005,"[-0.06691676 -0.04401776  0.03041141 ...  0.00689895  0.00062786
 -0.02520971]"
131156,"[-0.04613822 -0.02174467 -0.00151936 ...  0.01221268 -0.03938825
 -0.03601534]"
131306,"[-0.06047729 -0.0131838   0.00248398 ...  0.03634526 -0.02836666
 -0.04030239]"
131611,"[-0.06647729 -0.0116804  -0.01259891 ... -0.01822862 -0.01259143
 -0.03917607]"
131910,"[-0.03948685 -0.02268163 -0.00576582 ...  0.00565014 -0.00711091
 -0.03479674]"
131979,"[-0.04290194 -0.03228626  0.01750924 ...  0.00155141 -0.02927782
 -0.02687279]"
132063,"[-0.06200876 -0.03142637  0.01104986 ... -0.00369359 -0.01394912
 -0.0225259 ]"
133076,"[-0.06180561 -0.01962466  0.0026632  ...  0.02045271  0.00823862
 -0.0171112 ]"
133201,"[-0.04268726 -0.0135016   0.01998279 ...  0.01366031 -0.03847349
 -0.0389922 ]"
133321,"[-0.04601945 -0.0338733   0.00678561 ...  0.00637079 -0.02003298
 -0.03325479]"
133640,"[-0.0480707  -0.0258257   0.01684206 ...  0.01157118  0.02094286
 -0.0381671 ]"
133786,"[-0.0744576  -0.03712692  0.00960318 ...  0.01427692 -0.01580263
 -0.02147979]"
134009,"[-0.06165486 -0.01320967 -0.0038618  ... -0.00367418  0.01137733
 -0.03570019]"
134371,"[-0.08218732 -0.02386981  0.01042637 ...  0.00474688 -0.01543282
 -0.03147685]"
134408,"[-5.6654751e-02 -3.0533703e-02 -1.4785107e-05 ...  1.4116511e-02
 -2.8507007e-02 -3.3939861e-02]"
134493,"[-0.07884935 -0.01213405  0.01660899 ...  0.02016371 -0.00703602
 -0.03241473]"
200209,"[-0.05043127  0.00055828  0.01240957 ...  0.01491457 -0.01732643
 -0.03060778]"
200969,"[-0.07079443 -0.01376785  0.02130877 ...  0.00776089 -0.00717982
 -0.04576515]"
201519,"[-0.07256246 -0.01777878  0.00809236 ...  0.00010965 -0.00841935
 -0.0386824 ]"
201528,"[-0.04913122 -0.004874   -0.01504564 ... -0.00065617 -0.03520376
 -0.04730933]"
201769,"[-0.05963525 -0.0144866   0.02573177 ...  0.01169057  0.04007268
 -0.03463292]"
202014,"[-0.05193663 -0.01314337  0.00165204 ... -0.00205938  0.00558972
 -0.05494217]"
202610,"[-0.0549758  -0.01114735  0.01729814 ... -0.00435547 -0.00674673
 -0.03980702]"
202611,"[-0.0420894  -0.02196608 -0.00699519 ... -0.01448609 -0.01912365
 -0.02334244]"
202822,"[-0.05049898 -0.02006796 -0.01475379 ...  0.00174605 -0.02941366
 -0.02141576]"
203125,"[-0.06722932 -0.01104646 -0.00239583 ... -0.01359578 -0.01584554
 -0.02229766]"
203166,"[-0.05016349 -0.02791416 -0.00316673 ... -0.01817396  0.00564905
 -0.02584893]"
203288,"[-0.07464635 -0.01552581  0.02377252 ... -0.00268979  0.00957257
 -0.03669256]"
203500,"[-0.03705196 -0.02731578 -0.00324782 ...  0.01072096 -0.02368486
 -0.04985655]"
203607,"[-0.04924791 -0.0103484   0.00081392 ... -0.01104792 -0.01185295
 -0.01897773]"
204473,"[-0.05451066 -0.01887697 -0.01414005 ... -0.00867427 -0.01842361
 -0.02688898]"
204694,"[-0.04725507 -0.02451448  0.00350147 ... -0.00786464 -0.01973835
 -0.01931639]"
204711,"[-0.05002055 -0.05194449 -0.00835453 ... -0.00078112 -0.02338838
 -0.02249722]"
204909,"[-0.04478985 -0.00812651 -0.00555632 ...  0.00146662 -0.0155143
 -0.03333921]"
205405,"[-0.04169992 -0.01416832 -0.00510335 ...  0.00462995 -0.02540136
 -0.031946  ]"
205714,"[-0.06037115 -0.01382522  0.00158513 ... -0.01187198 -0.01051761
 -0.0352451 ]"
205781,"[-6.5658152e-02 -1.3717027e-02 -8.8005931e-05 ...  2.7600078e-02
 -6.8626776e-03 -2.1593019e-02]"
206354,"[-0.06437171 -0.02476048  0.00461429 ...  0.00183766 -0.01502712
 -0.02353535]"
207391,"[-0.06861702 -0.01792374  0.00806403 ... -0.01030939 -0.00821144
 -0.03367337]"
207782,"[-0.0592848  -0.01643603  0.00752235 ... -0.02886    -0.00250037
 -0.0230432 ]"
207857,"[-0.05633328 -0.02144985  0.02927007 ...  0.01717804  0.02477321
 -0.01419653]"
208446,"[-0.04208804 -0.02987297  0.00406897 ...  0.01099956 -0.023176
 -0.00775594]"
208944,"[-0.04615546 -0.0004796   0.01151734 ...  0.00415117 -0.01622061
 -0.03982259]"
209029,"[-0.06286273 -0.00454718  0.00285797 ...  0.00806036 -0.01744156
 -0.03085488]"
209116,"[-0.0366904   0.00446019  0.00915861 ...  0.01953567 -0.03522725
 -0.02715625]"
209184,"[-0.06243032 -0.0219808   0.0263559  ...  0.02666393 -0.01200976
 -0.00752881]"
209306,"[-0.0743228  -0.01610919  0.01740959 ...  0.01916971 -0.00657477
 -0.03515664]"
209412,"[-5.7943135e-02 -2.1065304e-02  2.5504625e-03 ... -5.4552180e-05
 -3.2229060e-03 -3.3053882e-02]"
209865,"[-0.04599193 -0.02445639 -0.0007861  ...  0.00485412 -0.00773253
 -0.01931157]"
209874,"[-0.08741622 -0.02787924  0.01335469 ...  0.04249321 -0.02057328
 -0.04083359]"
210090,"[-0.05989396 -0.02063324  0.02803808 ...  0.01646291 -0.02248777
 -0.0297713 ]"
210371,"[-0.05520913 -0.0316821  -0.00537091 ...  0.0198472  -0.0359808
 -0.03092275]"
210462,"[-0.05493191  0.01783021  0.02323373 ...  0.00564707 -0.01499866
 -0.04252393]"
210754,"[-0.07361332  0.00505351  0.003782   ...  0.00936178 -0.01462954
 -0.04204243]"
210839,"[-0.06822514 -0.01417561  0.01667514 ...  0.01154804 -0.01073604
 -0.03581433]"
211328,"[-0.04591336 -0.01402231  0.02015748 ... -0.01012655  0.00892417
 -0.03208105]"
211494,"[-0.04608639 -0.00619576  0.00840894 ...  0.00041387 -0.00524346
 -0.02411301]"
211570,"[-0.0773276   0.00101892  0.00416135 ...  0.00079074 -0.00891
 -0.0388695 ]"
211893,"[-0.04841632  0.00036877 -0.01334022 ... -0.02075721 -0.01913572
 -0.05175908]"
212202,"[-0.06287399 -0.03544397  0.01562701 ... -0.00211384 -0.00397363
 -0.02944416]"
212293,"[-0.09220607 -0.01512951  0.0134222  ...  0.00891101 -0.00564298
 -0.03625748]"
212359,"[-0.06839131 -0.01964799 -0.00322376 ...  0.02271976 -0.01283511
 -0.0322402 ]"
212718,"[-0.0677867  -0.00889127  0.02455033 ...  0.01897639  0.01498112
 -0.03817928]"
212819,"[-0.04111246 -0.03879163  0.02356655 ... -0.00413191  0.0311038
 -0.03502688]"
213046,"[-0.06483236 -0.01148225  0.0083908  ...  0.01004053  0.00452705
 -0.0277454 ]"
213485,"[-0.0548005  -0.00659925  0.02910154 ...  0.03102593 -0.02529132
 -0.03926416]"
213734,"[-0.05319877 -0.01134989  0.00100543 ... -0.00461225 -0.02000812
 -0.03227261]"
213972,"[-0.0631386  -0.00987268  0.02453467 ...  0.00354235  0.00042
 -0.03594757]"
214419,"[-0.07038791 -0.01648512 -0.00361118 ... -0.00819402 -0.00907071
 -0.03398678]"
214572,"[-4.5343697e-02 -1.1759174e-02 -7.1687908e-05 ...  6.3417777e-03
 -1.8157950e-03 -2.8865812e-02]"
214640,"[-0.05641236 -0.01707891  0.00963413 ... -0.00668686  0.0040386
 -0.02868318]"
214683,"[-0.04684139 -0.01017587 -0.00188928 ... -0.00847633 -0.00483726
 -0.03838271]"
214975,"[-0.05869265 -0.02087064  0.01699434 ...  0.0199431  -0.00898347
 -0.02293587]"
215002,"[-0.08013878 -0.02765224  0.02542329 ...  0.00182458  0.0150491
 -0.03443138]"
215290,"[-0.06701734 -0.00931313  0.0042945  ... -0.01428738  0.00246651
 -0.01807361]"
215394,"[-0.07987027  0.00604258  0.02615674 ...  0.00551685 -0.00409179
 -0.03026216]"
215677,"[-0.05367013 -0.0188239   0.01737828 ...  0.03112919 -0.01098834
 -0.02588048]"
216157,"[-0.05504286 -0.03108538  0.01887025 ...  0.00993243 -0.01596253
 -0.02688333]"
216160,"[-0.05098291 -0.02746196  0.01061154 ... -0.00609568 -0.02500512
 -0.01697565]"
216370,"[-0.05901308 -0.03601992  0.00103583 ...  0.01722271  0.00356705
 -0.02906153]"
216395,"[-0.05260337 -0.00935123  0.00651388 ...  0.00803008 -0.02253392
 -0.02953595]"
216399,"[-0.05984034 -0.00507582 -0.00463292 ...  0.00304023  0.03138629
 -0.03581508]"
216422,"[-0.0432337  -0.0041871   0.00421042 ...  0.0003212  -0.02062977
 -0.03071525]"
216622,"[-0.05555355 -0.01860934 -0.01178059 ... -0.00525021 -0.012331
 -0.01456383]"
216978,"[-0.05016763 -0.01084612  0.00231835 ...  0.00487438 -0.01163513
 -0.05674572]"
217501,"[-0.06796265 -0.01090448 -0.00285216 ...  0.00213729 -0.00226999
 -0.02957931]"
218035,"[-0.04599308  0.00139065  0.0098413  ... -0.00041869 -0.03335224
 -0.02945282]"
218307,"[-0.0441028  -0.01429303  0.00827803 ... -0.00735472 -0.02355184
 -0.03903352]"
218357,"[-0.0815904  -0.02380042  0.02048793 ...  0.02626355 -0.0109664
 -0.03296531]"
