cohort_size,evaluable_size,c_index_fused,auc_fused,brier_fused,accuracy_fused,weight_imaging,weight_clinical
80,74,0.909021986353298,0.9360663072910292,0.10222620882078257,0.8648648648648649,0.0,1.0
80,74,0.9082638362395754,0.9351371634504129,0.10114626621647105,0.8513513513513513,0.1,0.9
80,74,0.9067475360121304,0.9331510872284294,0.10204218188080048,0.8378378378378378,0.2,0.8
80,74,0.9014404852160728,0.9255936522689138,0.10491395581377089,0.8378378378378378,0.3,0.7
80,74,0.8832448824867324,0.9050133757156062,0.10976158801538227,0.8243243243243243,0.4,0.6
80,74,0.865049279757392,0.8861895943117121,0.1165850784856346,0.8378378378378378,0.5,0.5
80,74,0.8278999241849886,0.8467166113834601,0.1253844272245279,0.8243243243243243,0.6,0.4
80,74,0.7968157695223654,0.8151429331639405,0.1361596342320622,0.8243243243243243,0.7,0.3
80,74,0.756633813495072,0.7726587737932074,0.14891069950823743,0.7837837837837838,0.8,0.2
80,74,0.7293404094010614,0.742895905967615,0.16363762305305365,0.7837837837837838,0.9,0.1
80,74,0.6929492039423806,0.7019632689136039,0.18034040486651085,0.7567567567567568,1.0,0.0
